"Method","accuracyGroup","samplingMethod","nUndersample","kOversample","max.depth","eta","nround","nthread","B","mean","lower","upper"
"XGBoost","accuracy.all","undersample",1000,,100,0.1,2,4,50,0.868317948717949,0.85374358974359,0.884487179487179
"XGBoost","accuracy.all","undersample",1000,,100,0.1,2,6,50,0.869046153846154,0.852769230769231,0.884025641025641
"XGBoost","accuracy.all","undersample",1000,,100,0.1,2,8,50,0.868010256410256,0.849820512820513,0.881538461538461
"XGBoost","accuracy.all","undersample",1000,,100,0.1,2,10,50,0.869764102564103,0.852205128205128,0.884205128205128
"XGBoost","accuracy.all","undersample",1000,,100,0.1,2,12,50,0.870492307692308,0.854102564102564,0.888179487179487
"XGBoost","accuracy.all","undersample",1000,,100,0.1,4,2,50,0.875189743589744,0.860358974358974,0.887794871794872
"XGBoost","accuracy.all","undersample",1000,,100,0.1,4,4,50,0.873702564102564,0.857179487179487,0.886435897435897
"XGBoost","accuracy.all","undersample",1000,,100,0.1,4,6,50,0.874194871794872,0.857666666666667,0.888769230769231
"XGBoost","accuracy.all","undersample",1000,,100,0.1,4,8,50,0.875097435897436,0.861666666666667,0.886435897435897
"XGBoost","accuracy.all","undersample",1000,,100,0.1,4,10,50,0.873128205128205,0.858820512820513,0.887230769230769
"XGBoost","accuracy.all","undersample",1000,,100,0.1,4,12,50,0.876379487179487,0.863538461538462,0.889564102564103
"XGBoost","accuracy.all","undersample",1000,,100,0.1,6,2,50,0.877835897435897,0.863307692307692,0.891282051282051
"XGBoost","accuracy.all","undersample",1000,,100,0.1,6,4,50,0.877148717948718,0.859717948717949,0.897435897435897
"XGBoost","accuracy.all","undersample",1000,,100,0.1,6,6,50,0.877364102564103,0.858153846153846,0.891615384615385
"XGBoost","accuracy.all","undersample",1000,,100,0.1,6,8,50,0.880082051282051,0.868435897435897,0.893487179487179
"XGBoost","accuracy.all","undersample",1000,,100,0.1,6,10,50,0.875805128205128,0.862128205128205,0.893179487179487
"XGBoost","accuracy.all","undersample",1000,,100,0.1,6,12,50,0.876215384615385,0.860641025641026,0.887692307692308
"XGBoost","accuracy.all","undersample",1000,,100,0.1,8,2,50,0.882512820512821,0.865076923076923,0.899871794871795
"XGBoost","accuracy.all","undersample",1000,,100,0.1,8,4,50,0.882625641025641,0.872025641025641,0.894871794871795
"XGBoost","accuracy.all","undersample",1000,,100,0.1,8,6,50,0.878902564102564,0.859435897435897,0.896461538461538
